count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,day_of_week,month,is_weekend,hour_bin,total_vehicles,total_cycles,vehicle_density_km,hgv_dominant,mean_vehicles_by_direction,lat_lon_delta
6019,S,2019,2019-06-17,11,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,4,2709,12,446,108,12,8,14,27,201,370,3541,0,6,0,Morning,3541,0,753.4042553191489,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,18,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,7,1978,5,268,54,2,0,17,45,208,326,2584,0,6,0,Evening,2584,0,549.7872340425532,0,1096.3680981595091,1.3253593747991819
6019,N,2019,2019-06-17,7,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,9,2029,3,477,80,24,10,9,14,192,329,2847,0,6,0,Morning,2847,0,605.7446808510638,0,1096.3680981595091,1.3253593747991819
6019,S,2019,2019-06-17,13,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,17,2318,25,403,115,16,13,21,33,235,433,3196,0,6,0,Afternoon,3196,0,680.0,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,10,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,4,1891,15,364,125,23,25,15,42,252,482,2756,0,6,0,Morning,2756,0,586.3829787234042,0,1096.3680981595091,1.3253593747991819
6019,S,2019,2019-06-17,18,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,5,1634,5,246,37,4,3,6,30,162,242,2132,0,6,0,Evening,2132,0,453.6170212765957,0,1095.1927710843374,1.3253593747991819
6019,S,2019,2019-06-17,7,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,10,2860,4,911,180,34,15,18,18,301,566,4351,0,6,0,Morning,4351,0,925.7446808510638,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,14,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,6,2172,5,544,132,25,9,15,31,239,451,3178,0,6,0,Afternoon,3178,0,676.1702127659574,0,1096.3680981595091,1.3253593747991819
6019,N,2019,2019-06-17,16,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,9,2358,9,551,81,11,5,13,31,221,362,3289,0,6,0,Afternoon,3289,0,699.7872340425531,0,1096.3680981595091,1.3253593747991819
6019,S,2019,2019-06-17,8,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,6,2488,6,645,146,17,18,15,16,218,430,3575,0,6,0,Morning,3575,0,760.6382978723404,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,11,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,6,2100,29,416,113,21,15,17,38,235,439,2990,0,6,0,Morning,2990,0,636.1702127659574,0,1096.3680981595091,1.3253593747991819
6019,S,2019,2019-06-17,14,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,17,2377,27,451,117,12,22,11,36,221,419,3291,0,6,0,Afternoon,3291,0,700.2127659574468,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,8,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,6,1974,9,425,99,12,10,6,27,198,352,2766,0,6,0,Morning,2766,0,588.5106382978723,0,1096.3680981595091,1.3253593747991819
6019,N,2019,2019-06-17,15,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,7,2234,3,562,127,22,12,14,27,214,416,3222,0,6,0,Afternoon,3222,0,685.531914893617,0,1096.3680981595091,1.3253593747991819
6019,S,2019,2019-06-17,15,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,4,2189,16,440,91,23,13,10,36,203,376,3025,0,6,0,Afternoon,3025,0,643.6170212765957,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,17,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,8,2669,12,403,64,21,7,10,47,239,388,3480,0,6,0,Afternoon,3480,0,740.4255319148936,0,1096.3680981595091,1.3253593747991819
6019,S,2019,2019-06-17,17,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,14,2227,6,322,60,1,4,8,25,176,274,2843,0,6,0,Afternoon,2843,0,604.8936170212766,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,13,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,8,2246,12,539,125,21,14,18,30,269,477,3282,0,6,0,Afternoon,3282,0,698.2978723404256,0,1096.3680981595091,1.3253593747991819
6019,S,2019,2019-06-17,9,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,8,2218,12,567,128,22,11,22,20,218,421,3226,0,6,0,Morning,3226,0,686.3829787234042,0,1095.1927710843374,1.3253593747991819
6019,S,2019,2019-06-17,16,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,10,2240,16,475,84,7,4,1,21,174,291,3032,0,6,0,Afternoon,3032,0,645.1063829787233,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,12,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,4,2285,8,460,135,23,7,9,35,252,461,3218,0,6,0,Afternoon,3218,0,684.6808510638298,0,1096.3680981595091,1.3253593747991819
6022,S,2019,2019-06-14,12,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,3,2908,14,383,36,17,7,5,73,51,189,3497,4,6,0,Afternoon,3497,0,437.125,0,1095.1927710843374,0.17448931612291713
6022,N,2019,2019-06-14,18,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,10,2076,3,283,41,11,5,6,42,21,126,2498,4,6,0,Evening,2498,0,312.25,0,1096.3680981595091,0.17448931612291713
6022,S,2019,2019-06-14,7,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,2,1478,4,583,72,26,21,22,90,76,307,2374,4,6,0,Morning,2374,0,296.75,0,1095.1927710843374,0.17448931612291713
6022,S,2019,2019-06-14,16,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,11,3460,20,519,33,4,3,13,48,37,138,4148,4,6,0,Afternoon,4148,0,518.5,0,1095.1927710843374,0.17448931612291713
6022,N,2019,2019-06-14,12,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,7,2927,13,397,82,28,21,7,60,35,233,3577,4,6,0,Afternoon,3577,0,447.125,0,1096.3680981595091,0.17448931612291713
6022,N,2019,2019-06-14,8,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,6,1738,6,461,76,23,14,10,40,64,227,2438,4,6,0,Morning,2438,0,304.75,0,1096.3680981595091,0.17448931612291713
6022,N,2019,2019-06-14,9,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,5,1938,32,378,114,24,24,12,49,75,298,2651,4,6,0,Morning,2651,0,331.375,0,1096.3680981595091,0.17448931612291713
6022,N,2019,2019-06-14,13,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,12,2948,14,472,77,27,9,16,56,60,245,3691,4,6,0,Afternoon,3691,0,461.375,0,1096.3680981595091,0.17448931612291713
6022,N,2019,2019-06-14,16,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,8,3154,7,551,69,12,14,11,40,54,200,3920,4,6,0,Afternoon,3920,0,490.0,0,1096.3680981595091,0.17448931612291713
6022,S,2019,2019-06-14,10,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,1,2285,11,381,39,15,13,29,81,46,223,2901,4,6,0,Morning,2901,0,362.625,0,1095.1927710843374,0.17448931612291713
6022,S,2019,2019-06-14,8,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,2,1730,9,427,67,15,28,21,87,74,292,2460,4,6,0,Morning,2460,0,307.5,0,1095.1927710843374,0.17448931612291713
6022,N,2019,2019-06-14,10,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,14,3138,68,446,96,18,23,16,54,86,293,3959,4,6,0,Morning,3959,0,494.875,0,1096.3680981595091,0.17448931612291713
6022,N,2019,2019-06-14,14,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,6,2383,25,459,69,24,14,10,33,69,219,3092,4,6,0,Afternoon,3092,0,386.5,0,1096.3680981595091,0.17448931612291713
6022,S,2019,2019-06-14,18,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,6,2921,21,345,17,2,1,7,41,31,99,3392,4,6,0,Evening,3392,0,424.0,0,1095.1927710843374,0.17448931612291713
6022,N,2019,2019-06-14,7,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,3,1641,17,489,15,15,25,10,34,73,172,2322,4,6,0,Morning,2322,0,290.25,0,1096.3680981595091,0.17448931612291713
6022,S,2019,2019-06-14,15,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,12,3253,19,506,38,9,5,9,50,45,156,3946,4,6,0,Afternoon,3946,0,493.25,0,1095.1927710843374,0.17448931612291713
6022,S,2019,2019-06-14,9,1,South West,5,Somerset,M5,Major,24,23,330800,134540,51.105963,-2.9897945,8.0,4.97,0,5,1702,20,341,44,14,18,18,88,69,251,2319,4,6,0,Morning,2319,0,289.875,0,1095.1927710843374,0.17448931612291713
